DQP,Agency,Project,HMIS ID,Project Type
,Homeless Services Network - Support Services,CES-Intake Calls-General,998,Coordinated Entry
,Homeless Services Network - Support Services,Coordinated Entry,1167,Coordinated Entry
,Heart of Florida United Way,Heart of Florida United Way-CES Phone Intake:CES,775,Coordinated Entry
,Homeless Services Network - Support Services,Homeless Services Network-Intake Hubs:CES,1094,Coordinated Entry
,Homeless Services Network - Support Services,Homeless Services Network-Intake UAP:CES,887,Coordinated Entry
,Homeless Services Network - Support Services,Homeless Services Network-Intake-CSC:CES,1092,Coordinated Entry
,Homeless Services Network - Support Services,Homeless Services Network-Permanent Supportive Housing Match:CES,812,Coordinated Entry
,Homeless Services Network - Support Services,Homeless Services Network-Rapid Rehousing Match:CES,811,Coordinated Entry
,Homeless Services Network - Support Services,Homeless Services Network-SEM Regional Big Three:CES,925,Coordinated Entry
,Homeless Services Network - Support Services,Homeless Services Network-SSVF Intake: CES,949,Coordinated Entry
,Aspire Health Partners,Aspire Health Partners CENTAUR-HOPWA Short Term Housing:ES,511,Emergency Shelter - ES
,Aspire Health Partners,Aspire Health Partners-Anchor Shelter:ES,1125,Emergency Shelter - ES
,Aspire Health Partners,Aspire Health Partners-OSC Bridge Housing:ES,932,Emergency Shelter - ES
,Catholic Charities,Catholic Charities Pathways to Care-HOPWA Short Term Housing:ES,568,Emergency Shelter - ES
,Catholic Charities,Catholic Charities Pathways to Care-Recuperative Care STEP 2:ES,1137,Emergency Shelter - ES
,Catholic Charities,Catholic Charities Pathways to Care-Recuperative Care:ES,280,Emergency Shelter - ES
,Center for Multicultural Wellness & Prevention,Center for Multicultural Wellness & Prevention-HOPWA Short Term Housing:ES,512,Emergency Shelter - ES
,Coalition for the Homeless,Coalition for the Homeless-After Hours Emergency Shelter: ES,784,Emergency Shelter - ES
,Coalition for the Homeless,Coalition for the Homeless-Center for Women & Families:ES,186,Emergency Shelter - ES
,Coalition for the Homeless,Coalition for the Homeless-Community Outreach Bridge Housing:ES,1106,Emergency Shelter - ES
,Coalition for the Homeless,Coalition for the Homeless-Community Outreach Shelter:ES,1104,Emergency Shelter - ES
,Coalition for the Homeless,Coalition for the Homeless-MSC Intensive Case Management:ES,767,Emergency Shelter - ES
,Coalition for the Homeless,Coalition for the Homeless-ORN Bridge Housing:ES,958,Emergency Shelter - ES
,Community Hope Center of Osceola County,Community Hope Center-DCF ESG-CV Emergency Shelter:ES,1079,Emergency Shelter - ES
,Covenant House,Covenant House-Family Shelter:ES,245,Emergency Shelter - ES
,Covenant House,Covenant House-Individual Shelter:ES,810,Emergency Shelter - ES
,Family Promise of Greater Orlando,Family Promise-ORN Shelter:ES,377,Emergency Shelter - ES
,Harbor House,Harbor House-ORN ESG Emergency Shelter:ES,216,Emergency Shelter - ES
,HELP NOW,Help NOW-Emergency Shelter:ES,256,Emergency Shelter - ES
,Homeless Services Network - Support Services,Homeless Services Network-Bridge Housing:ES,850,Emergency Shelter - ES
,Homeless Services Network - Support Services,Homeless Services Network-ORN Bridge Housing:ES,1074,Emergency Shelter - ES
,Homeless Services Network - Support Services,Homeless Services Network-OSC Bridge Housing:ES,1075,Emergency Shelter - ES
,Homeless Services Network - Support Services,Homeless Services Network-SEM Bridge Housing:ES,1120,Emergency Shelter - ES
,Homeless Services Network - Support Services,Isolation And Recovery Center:ES,1029,Emergency Shelter - ES
,Miracle of Love,Miracle of Love-HOPWA Short Term Housing:ES,948,Emergency Shelter - ES
,Homeless Services Network - Support Services,Orange County-Cold Night Shelter:ES,1143,Emergency Shelter - ES
,Orlando Union Rescue Mission,Orlando Union Rescue Mission Men's Division-Emergency Shelter:ES,393,Emergency Shelter - ES
,Homeless Services Network - Support Services,Osceola County-Cold Night Shelter:ES,1090,Emergency Shelter - ES
,Recovery House,Recovery House-ESG Emergency Shelter:ES,832,Emergency Shelter - ES
,Recovery House,Recovery House-Veterans Emergency Shelter:ES,964,Emergency Shelter - ES
,Rescue Outreach Mission,Rescue Outreach Mission-Bridge Housing:ES,1154,Emergency Shelter - ES
,Rescue Outreach Mission,Rescue Outreach Mission-ESG Men's Shelter:ES,452,Emergency Shelter - ES
,Rescue Outreach Mission,Rescue Outreach Mission-ESG Women's Shelter:ES,453,Emergency Shelter - ES
,Rescue Outreach Mission,Rescue Outreach Mission-Family Shelter:ES,1109,Emergency Shelter - ES
