DQP,Agency,Project,HMIS ID,Project Type,Project2
,Community Legal Services of Mid-Florida,Community Legal Services of Mid-Florida-Veteran Advocacy:SSO,136,Services Only,136 - Community Legal Services of Mid-Florida-Veteran Advocacy:SSO
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Maxwell Terrace Apartments:PH-S,180,PH – Housing with Services (no disability required for entry),180 - Pathlight Home Grand Ave EDC-Maxwell Terrace Apartments:PH-S
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Homes for New Beginnings:PSH,181,Permenant Supportive Housing - PSH,181 - Pathlight Home Grand Ave EDC-Homes for New Beginnings:PSH
,Coalition for the Homeless,Coalition for the Homeless-Center for Women & Families:ES,186,Emergency Shelter - ES,186 - Coalition for the Homeless-Center for Women & Families:ES
,Health Care Center for the Homeless,Health Care Center for the Homeless-ORL SHP HOPE Team:SO,191,Street Outreach - SO,191 - Health Care Center for the Homeless-ORL SHP HOPE Team:SO
,Covenant House,Covenant House-Rights of Passage:TH,196,Transitional Housing - TH,196 - Covenant House-Rights of Passage:TH
,Covenant House,Covenant House-Case Management Outreach:SSO,197,Services Only,197 - Covenant House-Case Management Outreach:SSO
,Recovery House,Recovery House-Men's Treatment Program:TH,214,Transitional Housing - TH,214 - Recovery House-Men's Treatment Program:TH
,Harbor House,Harbor House-ORN ESG Emergency Shelter:ES,216,Emergency Shelter - ES,216 - Harbor House-ORN ESG Emergency Shelter:ES
,Covenant House,Covenant House-Family Shelter:ES,245,Emergency Shelter - ES,245 - Covenant House-Family Shelter:ES
,HELP NOW,Help NOW-Emergency Shelter:ES,256,Emergency Shelter - ES,256 - Help NOW-Emergency Shelter:ES
,Safehouse of Seminole,Safehouse of Seminole-Emergency Shelter:ES,257,Emergency Shelter - ES,257 - Safehouse of Seminole-Emergency Shelter:ES
,Aspire Health Partners,Aspire Health Partners Seminole Behavioral Health-Crisis Stabilization Unit:SSO,258,Services Only,258 - Aspire Health Partners Seminole Behavioral Health-Crisis Stabilization Unit:SSO
,Catholic Charities,Catholic Charities Pathways to Care-Recuperative Care:ES,280,Emergency Shelter - ES,280 - Catholic Charities Pathways to Care-Recuperative Care:ES
,Aspire Health Partners,Aspire Health Partners Lakeside Behavioral Heathcare-PATH Street Outreach:SO,285,Street Outreach - SO,285 - Aspire Health Partners Lakeside Behavioral Heathcare-PATH Street Outreach:SO
