DQP,Agency,Project,HMIS ID,Project Type
Aspire-OSC Bridge Housing:ES_6132022,Aspire Health Partners,Aspire Health Partners-OSC Bridge Housing:ES,932,Emergency Shelter - ES
Catholic Charities [Pathways to Care]-Recuperative Care STEP 2:ES_6132022,Catholic Charities,Catholic Charities [Pathways to Care]-Recuperative Care STEP 2:ES,1137,Emergency Shelter - ES
Catholic Charities [Pathways to Care]-Recuperative Care:ES_6132022,Catholic Charities,Catholic Charities [Pathways to Care]-Recuperative Care:ES,280,Emergency Shelter - ES
Coalition for the Homeless-Community Outreach Shelter:ES_6132022,Coalition for the Homeless,Coalition for the Homeless-Community Outreach Shelter:ES,1104,Emergency Shelter - ES
Coalition for the Homeless-Community Outreach Bridge Housing:ES_6132022,Coalition for the Homeless,Coalition for the Homeless-Community Outreach Bridge Housing:ES,1106,Emergency Shelter - ES
Coalition for the Homeless-Center for Women & Families:ES_6132022,Coalition for the Homeless,Coalition for the Homeless-Center for Women & Families:ES,186,Emergency Shelter - ES
Coalition for the Homeless-MSC Intensive Case Management:ES_6132022,Coalition for the Homeless,Coalition for the Homeless-MSC Intensive Case Management:ES,767,Emergency Shelter - ES
Coalition for the Homeless-After Hours Emergency Shelter: ES_6132022,Coalition for the Homeless,Coalition for the Homeless-After Hours Emergency Shelter: ES,784,Emergency Shelter - ES
Coalition for the Homeless-ORN Bridge Housing:ES_6132022,Coalition for the Homeless,Coalition for the Homeless-ORN Bridge Housing:ES,958,Emergency Shelter - ES
Community Hope Center-DCF ESG-CV Emergency Shelter:ES_6132022,Community Hope Center of Osceola County,Community Hope Center-DCF ESG-CV Emergency Shelter:ES,1079,Emergency Shelter - ES
Covenant House-Family Shelter:ES_6132022,Covenant House,Covenant House-Family Shelter:ES,245,Emergency Shelter - ES
Covenant House-Individual Shelter:ES_6132022,Covenant House,Covenant House-Individual Shelter:ES,810,Emergency Shelter - ES
Family Promise-ORN Shelter:ES_6132022,Family Promise of Greater Orlando,Family Promise-ORN Shelter:ES,377,Emergency Shelter - ES
Homeless Services Network-ORN Bridge Housing:ES_6132022,Homeless Services Network,Homeless Services Network-ORN Bridge Housing:ES,1074,Emergency Shelter - ES
Homeless Services Network-OSC Bridge Housing:ES_6132022,Homeless Services Network,Homeless Services Network-OSC Bridge Housing:ES,1075,Emergency Shelter - ES
Homeless Services Network-SEM Bridge Housing:ES_6132022,Homeless Services Network,Homeless Services Network-SEM Bridge Housing:ES,1120,Emergency Shelter - ES
Homeless Services Network-Bridge Housing:ES_6132022,Homeless Services Network,Homeless Services Network-Bridge Housing:ES,850,Emergency Shelter - ES
Isolation And Recovery Center:ES_6132022,Homeless Services Network,Isolation And Recovery Center:ES,1029,Emergency Shelter - ES
Orange County-Cold Night Shelter:ES_6132022,Orange County,Orange County-Cold Night Shelter:ES,1143,Emergency Shelter - ES
Recovery House-ESG Emergency Shelter:ES_6132022,Recovery House,Recovery House-ESG Emergency Shelter:ES,832,Emergency Shelter - ES
Recovery House-Veterans Emergency Shelter:ES_6132022,Recovery House,Recovery House-Veterans Emergency Shelter:ES,964,Emergency Shelter - ES
Rescue Outreach Mission-Family Shelter:ES_6132022,Rescue Outreach Mission,Rescue Outreach Mission-Family Shelter:ES,1109,Emergency Shelter - ES
Rescue Outreach Mission-ESG Men's Shelter:ES_6132022,Rescue Outreach Mission,Rescue Outreach Mission-ESG Men's Shelter:ES,452,Emergency Shelter - ES
Rescue Outreach Mission-ESG Women's Shelter:ES_6132022,Rescue Outreach Mission,Rescue Outreach Mission-ESG Women's Shelter:ES,453,Emergency Shelter - ES
Salvation Army [Mens Lodge]-Veteran Services:ES_6132022,Salvation Army,Salvation Army [Mens Lodge]-Veteran Services:ES,1063,Emergency Shelter - ES
Salvation Army [Men's Lodge]-NBN Emergency Shelter:ES_6132022,Salvation Army,Salvation Army [Men's Lodge]-NBN Emergency Shelter:ES,576,Emergency Shelter - ES
Salvation Army [Women & Children's Lodge]-Emergency Shelter:ES_6132022,Salvation Army,Salvation Army [Women & Children's Lodge]-Emergency Shelter:ES,579,Emergency Shelter - ES
Seminole County-Bridge Housing:ES_6132022,Seminole County,Seminole County-Bridge Housing:ES,993,Emergency Shelter - ES
Zebra Coalition-Youth Bridge Housing:ES_6132022,Zebra Coalition,Zebra Coalition-Youth Bridge Housing:ES,1102,Emergency Shelter - ES
The Christian Sharing Center-SEM ESG-CV Prevention Services:HP_6132022,The Christian Sharing Center,The Christian Sharing Center-SEM ESG-CV Prevention Services:HP,1110,Homelessness Prevention - HP
Coalition for the Homeless-ORN ESG-CV Homelessness Preventions:HP_6132022,Coalition for the Homeless,Coalition for the Homeless-ORN ESG-CV Homelessness Preventions:HP,1123,Homelessness Prevention - HP
Embrace Families Solutions-ORN ESG-CV Homelessness Prevention:HP_6132022,Embrace Families Solutions,Embrace Families Solutions-ORN ESG-CV Homelessness Prevention:HP,1045,Homelessness Prevention - HP
Family Promise-ORN ESG Prevention Services:HP_6132022,Family Promise of Greater Orlando,Family Promise-ORN ESG Prevention Services:HP,1062,Homelessness Prevention - HP
Homeless Services Network-DCF ESG-CV Homeless Prevention:HP_6132022,Homeless Services Network,Homeless Services Network-DCF ESG-CV Homeless Prevention:HP,1084,Homelessness Prevention - HP
Homeless Services Network-DCF TANF Homeless Prevention:HP_6132022,Homeless Services Network,Homeless Services Network-DCF TANF Homeless Prevention:HP,1107,Homelessness Prevention - HP
Homeless Services Network-SSVF ORN AspireHP 2018 P2:HP_6132022,Homeless Services Network,Homeless Services Network-SSVF ORN AspireHP 2018 P2:HP,788,Homelessness Prevention - HP
Homeless Services Network-SSVF TTHI 2018 P2:HP_6132022,Homeless Services Network,Homeless Services Network-SSVF TTHI 2018 P2:HP,791,Homelessness Prevention - HP
