DQP,Agency,Project,HMIS ID,Project Type,Start Date,Stop Date,Timeliness,Name,SSN,DOB,Race,Ethnicity,Gender,Veteran Status,Exit Destination,Chronicity(Prior Living Situation,Disabling Condition,Income at Start,Income at Annual Assessment,Income at Exit,Relationship to HoH,Inactive Records,Enrollment Length
Aspire-OSC Bridge Housing:ES_7292024,Aspire Health Partners,Aspire Health Partners-OSC Bridge Housing:ES,932,Emergency Shelter - ES,12/1/2022,12/31/2022,10,0.00%,13.51%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,12.50%,10.81%,16.67%,100.00%,0.00%,4.05%,0.00%,56
Aspire Seminole Behavioral Health-Crisis Stabilization Unit:SSO_7292024,Aspire Health Partners,Aspire Health Partners Seminole Behavioral Health-Crisis Stabilization Unit:SSO,258,Services Only,1/1/2023,3/31/2023,100,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0
Coalition-Community Outreach Shelter:ES_7292024,Coalition for the Homeless,Coalition for the Homeless-Community Outreach Shelter:ES,1104,Emergency Shelter - ES,12/1/2022,12/31/2022,16,0.00%,20.83%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.25%,0.00%,0
Coalition-Community Outreach Bridge Housing:ES_7292024,Coalition for the Homeless,Coalition for the Homeless-Community Outreach Bridge Housing:ES,1106,Emergency Shelter - ES,12/1/2022,12/31/2022,0,0.00%,45.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,54.55%,0.00%,0
Coalition-Center for Women & Families:ES_7292024,Coalition for the Homeless,Coalition for the Homeless-Center for Women & Families:ES,186,Emergency Shelter - ES,12/1/2022,12/31/2022,1,0.00%,6.44%,0.00%,0.50%,0.50%,0.00%,0.00%,0.00%,4.27%,3.96%,2.56%,0.00%,4.76%,4.46%,0.00%,0
Coalition-MSC Intensive Case Management:ES_7292024,Coalition for the Homeless,Coalition for the Homeless-MSC Intensive Case Management:ES,767,Emergency Shelter - ES,12/1/2022,12/31/2022,3,0.36%,1.45%,0.36%,0.00%,0.00%,0.00%,0.00%,0.00%,1.45%,0.72%,2.54%,100.00%,5.56%,0.00%,0.00%,0
Coalition-After Hours Emergency Shelter: ES_7292024,Coalition for the Homeless,Coalition for the Homeless-After Hours Emergency Shelter: ES,784,Emergency Shelter - ES,12/1/2022,12/31/2022,96,0.00%,9.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0
Coalition-ORN Bridge Housing:ES_7292024,Coalition for the Homeless,Coalition for the Homeless-ORN Bridge Housing:ES,958,Emergency Shelter - ES,12/1/2022,12/31/2022,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0
Aspire-OSC Bridge Housing:ES_7292024,Aspire Health Partners,Aspire Health Partners-OSC Bridge Housing:ES,932,Emergency Shelter - ES,12/1/2022,12/31/2022,10,0.00%,13.51%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,12.50%,10.81%,16.67%,100.00%,0.00%,4.05%,0.00%,56
Aspire-OSC Bridge Housing:ES_7292024,Aspire Health Partners,Aspire Health Partners-OSC Bridge Housing:ES,932,Emergency Shelter - ES,12/1/2022,12/31/2022,10,0.00%,13.51%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,12.50%,10.81%,16.67%,100.00%,0.00%,4.05%,0.00%,56
